,pospair,negpair
39,*MOT: it reminds me of when you're in an aeroplane seeing somewhere .	*CHI: can you see the sunflower ?,*MOT: it reminds me of when you're in an aeroplane seeing somewhere .	*CHI: that's my bobble hat .
40,*MOT: what was that ?	*CHI: like some nice music .,*MOT: what was that ?	*CHI: yeah I got one .
41,*MOT: can't you say it all for me ?	*CHI: pop goes the weasel .,*MOT: can't you say it all for me ?	*CHI: there's the spider .
42,*MOT: what is it ?	*CHI: it's Seven up !,*MOT: what is it ?	*CHI: that's a car .
43,*MOT: and who's she going to see in church ?	*CHI: her go way .,*MOT: and who's she going to see in church ?	*CHI: no play bike .
44,*MOT: what're you trying to do ?	*CHI: I want sing one .,*MOT: what're you trying to do ?	*CHI: I'm too hungry .
45,*MOT: what did you have for supper ?	*CHI: want a one .,*MOT: what did you have for supper ?	*CHI: Nicole do it .
46,*MOT: where are you going ?	*CHI: I wash my hands .,*MOT: where are you going ?	*CHI: because they're strong .
47,*MOT: who you riding on ?	*CHI: I got Tony pony .,*MOT: who you riding on ?	*CHI: you eat them up .
48,*MOT: what's that dollie's name ?	*CHI: Chattyz Baby brother .,*MOT: what's that dollie's name ?	*CHI: it's my sleeper .
49,*MOT: who kicked you in the leg ?	*CHI: I got boo boo here .,*MOT: who kicked you in the leg ?	*CHI: a fire hydrant .
50,*MOT: did you do good ?	*CHI: and we played two games .,*MOT: did you do good ?	*CHI: do you want some fruit ?
51,*MOT: better eat that .	*CHI: can we hear ourselves after ?,*MOT: better eat that .	*CHI: I can't stick him .
52,*MOT: do you have gym ?	*CHI: I don't know .,*MOT: do you have gym ?	*CHI: well that'll be .
53,*MOT: Beauty and the Beast .	*CHI: oh can I cut one ?,*MOT: Beauty and the Beast .	*CHI: he going in that hole .
54,*MOT: did you eat your salad ?	*CHI: don't like it .,*MOT: did you eat your salad ?	*CHI: let me just have .
55,"*MOT: no, what does Peanuts do ?	*CHI: open nut box .","*MOT: no, what does Peanuts do ?	*CHI: that is ducky ."
56,*MOT: and what did you do ?	*CHI: we left school !,*MOT: and what did you do ?	*CHI: up and down .
57,*MOT: why did you say oy ?	*CHI: because there was .,*MOT: why did you say oy ?	*CHI: you can have .
58,*MOT: if you're doing a b c d .	*CHI: yeah can we do this one time ?,"*MOT: if you're doing a b c d .	*CHI: you want to talk , Johnathan ?"
59,*MOT: what do you have ?	*CHI: b e d .,*MOT: what do you have ?	*CHI: load the train .
60,*MOT: that would cause a bit of a problem .	*CHI: oh what's happening ?,*MOT: that would cause a bit of a problem .	*CHI: lots bigger than mine .
61,*MOT: what else is made of rubber ?	*CHI: oy I don't want to play with .,*MOT: what else is made of rubber ?	*CHI: three weeks old and her was little tiny .
62,*MOT: what sort of sandwich would you like ?	*CHI: a cheese one .,*MOT: what sort of sandwich would you like ?	*CHI: go in here .
63,*MOT: alright what are you doing in the stockroom ?	*CHI: just getting some more things from stock .,*MOT: alright what are you doing in the stockroom ?	*CHI: oh it's a apple fruit too .
64,*MOT: it's walking across the common .	*CHI: how did it do ?,*MOT: it's walking across the common .	*CHI: it doesn't say .
65,*MOT: you've had enough .	*CHI: have you seen that ?,*MOT: you've had enough .	*CHI: you twirl them .
66,"*MOT: what is it , love ?	*CHI: look what's in .","*MOT: what is it , love ?	*CHI: which one's mine ."
67,*MOT: what happened to Granddad ?	*CHI: bird poo or something .,*MOT: what happened to Granddad ?	*CHI: you go get it .
68,*MOT: what is this Chi ?	*CHI: I don't know .,*MOT: what is this Chi ?	*CHI: I can open it .
69,"*MOT: what's that girl doing ?	*CHI: , chopping wood .",*MOT: what's that girl doing ?	*CHI: when Daddy coming ?
70,*MOT: it looks like who ?	*CHI: Mary had a little lamb .,*MOT: it looks like who ?	*CHI: and then you use this .
71,"*MOT: what is this ?	*CHI: , a big towel .",*MOT: what is this ?	*CHI: this is a hammer .
72,*MOT: the teddy bear's name ?	*CHI: I don't know .,*MOT: the teddy bear's name ?	*CHI: he found Old Bear .
73,"*MOT: and where's he sitting ?	*CHI: on an orange chair, chair .",*MOT: and where's he sitting ?	*CHI: the whole of Reception .
74,"*MOT: and what's she doing ?	*CHI: , playing baseball .",*MOT: and what's she doing ?	*CHI: Daddy went school .
75,*MOT: what color are his shorts ?	*CHI: blue and yellow .,*MOT: what color are his shorts ?	*CHI: bottle empty Mama .
76,*MOT: where did you pick flowers ?	*CHI: to Firstname's house .,*MOT: where did you pick flowers ?	*CHI: this my supper right ?
77,*MOT: see how it's shining ?	*CHI: yellow arms right here .,*MOT: see how it's shining ?	*CHI: this train's broken .
78,*MOT: what color is she painting the house ?	*CHI: red and green .,*MOT: what color is she painting the house ?	*CHI: what Planet Play ?
79,"*MOT: and what's this ?	*CHI: , fuh water .",*MOT: and what's this ?	*CHI: I need shorts Ma .
80,*MOT: she's catching frogs ?	*CHI: I don't want to go in this room .,*MOT: she's catching frogs ?	*CHI: Mummy you have to put it on the top .
81,"*MOT: and who takes it out of the house and puts it outside ?	*CHI: , him, oh .",*MOT: and who takes it out of the house and puts it outside ?	*CHI: Twww bite my tummy .
82,*MOT: what do you think that is ?	*CHI: um something high .,*MOT: what do you think that is ?	*CHI: some painting things .
83,*MOT: you want to surf ?	*CHI: um when I get bigger .,*MOT: you want to surf ?	*CHI: you can play another game .
84,*MOT: yeah looks like a necklace or some jewels .	*CHI: what is this ?,*MOT: yeah looks like a necklace or some jewels .	*CHI: oh dear dear .
85,"*MOT: what is he have on his eye ?	*CHI: um, a mask .",*MOT: what is he have on his eye ?	*CHI: what I owe you ?
86,*MOT: can you be a pirate and go find me some treasure ?	*CHI: when I grow up like him .,*MOT: can you be a pirate and go find me some treasure ?	*CHI: I've got Dora's shoe .
87,*MOT: how do you think he lost his leg ?	*CHI: I don't know .,*MOT: how do you think he lost his leg ?	*CHI: put me it's .
88,*MOT: think it's four ?	*CHI: I mean six .,*MOT: think it's four ?	*CHI: I wee weed .
89,*MOT: how do ladybugs talk ?	*CHI: I don't know .,*MOT: how do ladybugs talk ?	*CHI: now that's enough .
90,*MOT: you want a puppy ?	*CHI: just like one that I wanted .,*MOT: you want a puppy ?	*CHI: we had ta throw it away .
91,*MOT: how do you it's just like the one that you wanted ?	*CHI: because I dreamed about it .,*MOT: how do you it's just like the one that you wanted ?	*CHI: you going be the children .
92,*MOT: what are some of the colors you see on that ?	*CHI: blue right there .,*MOT: what are some of the colors you see on that ?	*CHI: say Mrs Gwww .
93,*MOT: well why did you touch the duck ?	*CHI: because I wanted to .,*MOT: well why did you touch the duck ?	*CHI: that goes to dragon .
94,*MOT: what is that ?	*CHI: that's called a snapping turtle .,*MOT: what is that ?	*CHI: I'll put it in the oven .
95,*MOT: are you ready to change the page ?	*CHI: I wish they were real and they could talk like us .,*MOT: are you ready to change the page ?	*CHI: and you can play Pass the parcel with Yasmin .
96,*MOT: see what's next ?	*CHI: and it was really really foggy .,*MOT: see what's next ?	*CHI: mommy why don't you be quiet ?
97,*MOT: do you nudge anybody with your nose ?	*CHI: mom guess what .,*MOT: do you nudge anybody with your nose ?	*CHI: yes I would .
98,"*MOT: well why do you turn into a shark when you're sleeping ?	*CHI: because I have this special kind of um medicine inside of me, everytime .",*MOT: well why do you turn into a shark when you're sleeping ?	*CHI: if you're a good boy we might take you to a carnival .
99,*MOT: do you know what that's called ?	*CHI: I'm getting bored of that .,*MOT: do you know what that's called ?	*CHI: do you want black like me ?
100,*MOT: how do you think she did it ?	*CHI: uh I don't know .,*MOT: how do you think she did it ?	*CHI: let's turn the page .
101,*MOT: isn't that what you and your friend Firstname do ?	*CHI: I just like jump .,*MOT: isn't that what you and your friend Firstname do ?	*CHI: all that grime .
102,*MOT: a little bit faster ?	*CHI: only two mo-only one more page .,*MOT: a little bit faster ?	*CHI: no Mum where do you put that back ?
103,*MOT: who's this guy ?	*CHI: I don't know .,*MOT: who's this guy ?	*CHI: um be a firefighter .
104,*MOT: who can be firefighter ?	*CHI: I can't because I'm too little .,*MOT: who can be firefighter ?	*CHI: I want that one round the corner too .
105,*MOT: does Firstname play hopscotch ?	*CHI: I don't think so .,*MOT: does Firstname play hopscotch ?	*CHI: why is he staying there ?
106,*MOT: yeah is Firstname old enough ?	*CHI: no she's too little !,*MOT: yeah is Firstname old enough ?	*CHI: Daddy is going to work .
107,*MOT: so why do think that only men can do aerobics ?	*CHI: because it shows the picture of man .,*MOT: so why do think that only men can do aerobics ?	*CHI: I'm just going to come back .
108,*MOT: she does aerobics !	*CHI: no no no .,*MOT: she does aerobics !	*CHI: me in there .
109,*MOT: I don't know .	*CHI: that's the end of the book !,*MOT: I don't know .	*CHI: no when I fell off of this .
110,*MOT: what is sunshine doing ?	*CHI: getting in her Daddy's bed .,*MOT: what is sunshine doing ?	*CHI: what's to do with it ?
111,*MOT: oh this is somebody's hat .	*CHI: you know what else ?,*MOT: oh this is somebody's hat .	*CHI: I don't know .
112,*MOT: do you want him to stay up there ?	*CHI: they always wear glasses .,*MOT: do you want him to stay up there ?	*CHI: got one parcel today .
113,*MOT: where do you want them ?	*CHI: ah I don't know how to get down !,*MOT: where do you want them ?	*CHI: I'm a little man fell down the drain .
114,*MOT: no you tell them .	*CHI: are they hearing me now ?,*MOT: no you tell them .	*CHI: you do it with me .
115,*MOT: and what did we sing ?	*CHI: Baa Baa black sheep .,*MOT: and what did we sing ?	*CHI: now we got to .
116,*MOT: why were we doing that ?	*CHI: the white shoe .,*MOT: why were we doing that ?	*CHI: cross the street .
117,*MOT: what has broken ?	*CHI: oh Thomas play it .,*MOT: what has broken ?	*CHI: where's the games ?
118,*MOT: where's your icecream ?	*CHI: on my shirt .,*MOT: where's your icecream ?	*CHI: goes over there .
119,*MOT: what song's that ?	*CHI: it's the dark side bright song .,*MOT: what song's that ?	*CHI: up there duh duh duh dustbin lorry .
120,*MOT: what about my neck massage ?	*CHI: you have to do mine first .,*MOT: what about my neck massage ?	*CHI: and then when you catch it .
121,*MOT: what should I sing ?	*CHI: under my umbrella .,*MOT: what should I sing ?	*CHI: uh blue chair .
122,*MOT: under my umbrella Ella Ella eh eh eh .	*CHI: can you get faster ?,*MOT: under my umbrella Ella Ella eh eh eh .	*CHI: upset all my crown .
123,*MOT: is that a fence ?	*CHI: mom fix it .,*MOT: is that a fence ?	*CHI: I did that .
124,*MOT: one of the cups ?	*CHI: I need cup .,*MOT: one of the cups ?	*CHI: everytime we swap .
125,*MOT: you need a fork ?	*CHI: that is good .,*MOT: you need a fork ?	*CHI: she wants milk .
126,*MOT: what are you doing ?	*CHI: blowing your bubbles .,*MOT: what are you doing ?	*CHI: I had chicken .
127,*MOT: what do you mean there's no martians left ?	*CHI: because there alled .,*MOT: what do you mean there's no martians left ?	*CHI: I can do that .
128,*MOT: just in time for what ?	*CHI: I don't like stamps .,*MOT: just in time for what ?	*CHI: we went to the park .
129,*MOT: why are you saying ow ?	*CHI: because it hurts .,*MOT: why are you saying ow ?	*CHI: they had rice .
130,*MOT: where's your pockets ?	*CHI: I don't know .,*MOT: where's your pockets ?	*CHI: what does that say ?
131,*MOT: how many legs does the spider have ?	*CHI: one two three four five six seven eight nine ten .,*MOT: how many legs does the spider have ?	*CHI: uh brown but not that color brown reddy brown .
132,*MOT: what do you think ?	*CHI: and they had a bath .,*MOT: what do you think ?	*CHI: put it on my hand .
133,*MOT: so we have to find them and count them .	*CHI: where's the alligators ?,*MOT: so we have to find them and count them .	*CHI: Daddy make a pizza .
134,*MOT: that's an alligator .	*CHI: is all those alligators ?,*MOT: that's an alligator .	*CHI: I need two coffee .
135,*MOT: and what else did we do ?	*CHI: go on two hot air balloons .,*MOT: and what else did we do ?	*CHI: I want ta drink my pop .
136,*MOT: because you've got half term .	*CHI: are we off ?,*MOT: because you've got half term .	*CHI: like a baby .
137,*MOT: we're not going now .	*CHI: but I want to go on the train !,*MOT: we're not going now .	*CHI: I'd like have a piece of cheese .
138,*MOT: I can see your sunflower .	*CHI: oh .. where ?,*MOT: I can see your sunflower .	*CHI: crunch a stick .
139,*MOT: what can you see now ?	*CHI: I want to chair for it .,*MOT: what can you see now ?	*CHI: shall we do Row Row Row ?
140,"*MOT: what , darling ?	*CHI: did you stick .","*MOT: what , darling ?	*CHI: down the stairs ."
141,*MOT: and where do you think it goes ?	*CHI: but it's a .,*MOT: and where do you think it goes ?	*CHI: do you not do .
142,*MOT: what are you looking for ?	*CHI: but the other .,*MOT: what are you looking for ?	*CHI: what about there ?
143,*MOT: oh that was good .	*CHI: want to play with these ?,*MOT: oh that was good .	*CHI: and I do eat strawberrys .
144,*MOT: who are you calling ?	*CHI: this is your phone .,*MOT: who are you calling ?	*CHI: that's red there .
145,*MOT: what can I do for you ?	*CHI: come over please .,*MOT: what can I do for you ?	*CHI: I am going .
146,*MOT: because they asked me to tape .	*CHI: oh the last time we did that ?,*MOT: because they asked me to tape .	*CHI: see my heel pushes em in .
147,*MOT: no you've had enough stuff today .	*CHI: you said after supper !,*MOT: no you've had enough stuff today .	*CHI: the Queens Park ?
148,*MOT: until this November .	*CHI: oh what's after five ?,*MOT: until this November .	*CHI: I want to see it .
149,*MOT: cut it out !	*CHI: when are we going to have a day off will .,*MOT: cut it out !	*CHI: then the Fireman Sam is .. got on his engine .
150,*MOT: I'll have a day off Saturday .	*CHI: who has to watch us then ?,*MOT: I'll have a day off Saturday .	*CHI: let me just have a think .
151,"*MOT: oh, what's that, what's that boy doing ?	*CHI: , mine bicycle .","*MOT: oh, what's that, what's that boy doing ?	*CHI: yes it is ."
152,"*MOT: who can be a seamstress ?	*CHI: mommy, I needta do that .",*MOT: who can be a seamstress ?	*CHI: would you put these together please ?
153,*MOT: what does he have on his face ?	*CHI: a must haveche .,"*MOT: what does he have on his face ?	*CHI: hello , Sukie ."
154,"*MOT: well, now you don't know those numbers, that's a five .	*CHI: I sit on the couch ?","*MOT: well, now you don't know those numbers, that's a five .	*CHI: this go here , look ."
155,*MOT: do you remember ?	*CHI: in Nanna and Pappa .,*MOT: do you remember ?	*CHI: but I can't get it out .
156,*MOT: you can be a firefighter .	*CHI: what is that ?,*MOT: you can be a firefighter .	*CHI: get in nursery .
157,"*MOT: yeah, do you remember what this is called ?	*CHI: a fire hydrant .","*MOT: yeah, do you remember what this is called ?	*CHI: I don't want that ."
158,"*MOT: did you watch them pick it up in the garbage truck ?	*CHI: aw, aw, all done !",*MOT: did you watch them pick it up in the garbage truck ?	*CHI: you have to do mine first .
159,*MOT: in Firstname's room ?	*CHI: I don't want to look at the book anymore .,*MOT: in Firstname's room ?	*CHI: I want you to put the gate up in our .
160,*MOT: what do you think ?	*CHI: I got to see .,*MOT: what do you think ?	*CHI: who that sound is ?
161,*MOT: do you remember ?	*CHI: cats have ants .,*MOT: do you remember ?	*CHI: I do it .
162,*MOT: what's wrong with that one ?	*CHI: this has tape on it .,*MOT: what's wrong with that one ?	*CHI: let's get cracking .
163,*MOT: what if we did our own house like this ?	*CHI: and then there would be no space to walk .,*MOT: what if we did our own house like this ?	*CHI: and you have to go and get a pan .
164,*MOT: but I think I got the rest now .	*CHI: where where are they ?,"*MOT: but I think I got the rest now .	*CHI: uh, pine cone ."
165,*MOT: and then there's animals .	*CHI: I forget I forget !,*MOT: and then there's animals .	*CHI: I don't mind .
166,*MOT: do you remember that ?	*CHI: I forget whose .,*MOT: do you remember that ?	*CHI: put this off .
167,*MOT: what do you think ?	*CHI: take the bus .,"*MOT: what do you think ?	*CHI: it , is ."
168,*MOT: why are there chains on that ?	*CHI: does this go down or .,*MOT: why are there chains on that ?	*CHI: want put them on here .
169,*MOT: nine wet pets .	*CHI: what was this ?,*MOT: nine wet pets .	*CHI: change a nappie .
170,*MOT: that's a little strange .	*CHI: what comes next ?,*MOT: that's a little strange .	*CHI: here you go .
171,*MOT: is he there ?	*CHI: Mummy do it .,*MOT: is he there ?	*CHI: a fat carrot .
172,*MOT: what're you doing ?	*CHI: sitting at the table .,*MOT: what're you doing ?	*CHI: he need to go .
173,*MOT: what happened to my other pillow ?	*CHI: on the couch .,*MOT: what happened to my other pillow ?	*CHI: and this one ?
174,*MOT: what's your name ?	*CHI: Thomas Henry the Purdie .,*MOT: what's your name ?	*CHI: what is a dip ?
175,*MOT: what has happened ?	*CHI: a my feel better .,*MOT: what has happened ?	*CHI: Cindy got one a .
176,*MOT: what are you looking for ?	*CHI: want a key .,*MOT: what are you looking for ?	*CHI: a farmer girl .
177,*MOT: you can see a brown egg and a red egg ?	*CHI: on up here .,*MOT: you can see a brown egg and a red egg ?	*CHI: hat hat hat .
178,"*MOT: I've just taken my shoes off , haven't I ?	*CHI: put them on .","*MOT: I've just taken my shoes off , haven't I ?	*CHI: I painted them ."
179,*MOT: why are you putting it round your back ?	*CHI: a not spill .,*MOT: why are you putting it round your back ?	*CHI: jump jump frog !
180,*MOT: would you like some more chips ?	*CHI: a prawn crisps Daddy .,*MOT: would you like some more chips ?	*CHI: alligator starts with Annie Apple .
181,*MOT: yeah what do you say ?	*CHI: excuse me chips .,*MOT: yeah what do you say ?	*CHI: sit on it .
182,*MOT: oh three days to go !	*CHI: it has been dropped down .,*MOT: oh three days to go !	*CHI: whatever you want to do .
183,*MOT: and can you see all the holly running round the outside ?	*CHI: put a post down .,*MOT: and can you see all the holly running round the outside ?	*CHI: did that one fell ?
184,*MOT: why are they going to make him a big bed ?	*CHI: he can sleep in it for supper .,*MOT: why are they going to make him a big bed ?	*CHI: I want to drive a purple car .
185,*MOT: would you like some more ?	*CHI: I do it .,*MOT: would you like some more ?	*CHI: Ernie and him .
186,"*MOT: how many sheep are there ?	*CHI: one, two, three .",*MOT: how many sheep are there ?	*CHI: I don't want to .
187,*MOT: what should his name be ?	*CHI: she put them in stroller .,*MOT: what should his name be ?	*CHI: come in the front room .
188,"*MOT: I'd rather have my juice in a cup, please .	*CHI: where did cup go ?","*MOT: I'd rather have my juice in a cup, please .	*CHI: play that other stuff ."
189,*MOT: those are good .	*CHI: want some apple ?,*MOT: those are good .	*CHI: ten teddy bears .
190,*MOT: where did you find that dolly ?	*CHI: at Rachel's home .,*MOT: where did you find that dolly ?	*CHI: Mummy a snip snip .
191,*MOT: so where did you play ?	*CHI: in Rachel's room .,*MOT: so where did you play ?	*CHI: what did you do ?
192,*MOT: what are you doing ?	*CHI: unscrew a nipple .,*MOT: what are you doing ?	*CHI: I don't wear the pants .
193,*MOT: unscrewing the nipple ?	*CHI: you screw off it .,*MOT: unscrewing the nipple ?	*CHI: where's fish going ?
194,*MOT: that's your super car .	*CHI: you drive it ?,*MOT: that's your super car .	*CHI: trying to make ?
195,*MOT: what do you want me to do ?	*CHI: a barrels in .,*MOT: what do you want me to do ?	*CHI: I like that .
196,*MOT: can I see your mirror ?	*CHI: don't look yourself .,*MOT: can I see your mirror ?	*CHI: careful doesn't fall .
197,*MOT: what should I do ?	*CHI: see that on yourself .,*MOT: what should I do ?	*CHI: let me do it .
198,*MOT: what do you want me to do ?	*CHI: take it out .,*MOT: what do you want me to do ?	*CHI: drive my digger .
199,*MOT: you want to read it ?	*CHI: a dog go .,*MOT: you want to read it ?	*CHI: cheese and crackers .
200,*MOT: and what is he doing here ?	*CHI: in the bathtub .,*MOT: and what is he doing here ?	*CHI: being a artist ?
201,*MOT: what's he doing ?	*CHI: blowing a bubble .,*MOT: what's he doing ?	*CHI: ice cream bus .
202,*MOT: did the bubble pop ?	*CHI: don't that's balloon .,*MOT: did the bubble pop ?	*CHI: can you get it out ?
203,*MOT: where is it ?	*CHI: that's a nose .,*MOT: where is it ?	*CHI: here's this boy .
204,*MOT: did Nina have a birthday cake at her birthday ?	*CHI: I eat it .,"*MOT: did Nina have a birthday cake at her birthday ?	*CHI: baby , spill ."
205,*MOT: where shall I keep it ?	*CHI: on your hand .,*MOT: where shall I keep it ?	*CHI: ride the bikes .
206,*MOT: you going to clean the cream off ?	*CHI: I will put some on your nose .,*MOT: you going to clean the cream off ?	*CHI: you don't put that on there .
207,*MOT: you're going to put what ?	*CHI: cream on your face .,*MOT: you're going to put what ?	*CHI: Mummy I'm sorry .
208,*MOT: you're going to put what ?	*CHI: shaving on your face .,*MOT: you're going to put what ?	*CHI: why are the people there ?
209,*MOT: where shall I put the shaving cream ?	*CHI: on my face .,*MOT: where shall I put the shaving cream ?	*CHI: I want Daddy .
210,*MOT: where's the shaving cream ?	*CHI: you put that on .,*MOT: where's the shaving cream ?	*CHI: want some more plums .
211,*MOT: what are these ?	*CHI: I want him .,*MOT: what are these ?	*CHI: where are they ?
212,*MOT: where shall I put the mouse ?	*CHI: in that home .,*MOT: where shall I put the mouse ?	*CHI: she got out .
213,*MOT: can you get him out ?	*CHI: roll over the home .,*MOT: can you get him out ?	*CHI: now in the clouds .
214,*MOT: who are you missing ?	*CHI: I want another barrel .,*MOT: who are you missing ?	*CHI: so it's here .
215,*MOT: you take them to see the train ?	*CHI: on my bed .,*MOT: you take them to see the train ?	*CHI: Bob Builder busy .
216,*MOT: who are you putting on the wagon ?	*CHI: dolly and Popeye .,*MOT: who are you putting on the wagon ?	*CHI: the dustbin man .
217,*MOT: you're taking everybody else off ?	*CHI: Popeye go bye .,"*MOT: you're taking everybody else off ?	*CHI: pull , mummie ."
218,*MOT: whom are we going to see ?	*CHI: Erin and Gilly .,*MOT: whom are we going to see ?	*CHI: and who else is ?
219,*MOT: I don't know what happened to it .	*CHI: where is my bottle ?,*MOT: I don't know what happened to it .	*CHI: that's his Mum .
220,*MOT: it's not behind the doll house ?	*CHI: where's my bottle .,*MOT: it's not behind the doll house ?	*CHI: then I have to .
221,*MOT: it's just one eye .	*CHI: eye's on him ?,*MOT: it's just one eye .	*CHI: it's a photograph .
222,*MOT: oh they're rolling in the snow didn't they ?	*CHI: girl right here .,*MOT: oh they're rolling in the snow didn't they ?	*CHI: we need two .
223,*MOT: I don't know .	*CHI: where another book ?,*MOT: I don't know .	*CHI: get out Rosie .
224,*MOT: now what are you going to do ?	*CHI: I can't get them out .,*MOT: now what are you going to do ?	*CHI: I can't do my zip .
225,*MOT: is that everybody ?	*CHI: it's both sheeps .,*MOT: is that everybody ?	*CHI: never put peas under a .
226,*MOT: just leave it .	*CHI: where are they ?,*MOT: just leave it .	*CHI: he was too .
227,*MOT: what is it ?	*CHI: it's it's it's .,*MOT: what is it ?	*CHI: I'll get one more soap .
228,*MOT: how many cows ?	*CHI: one two three .,*MOT: how many cows ?	*CHI: and that train .
229,*MOT: and how many sheep ?	*CHI: one two three .,*MOT: and how many sheep ?	*CHI: a real one .
230,"*MOT: these are kind of hard to grab, aren't they ?	*CHI: let's go do the animal one .","*MOT: these are kind of hard to grab, aren't they ?	*CHI: oh hokey cokey cokey ."
231,*MOT: what's in there ?	*CHI: it's a baby .,*MOT: what's in there ?	*CHI: this is the sea .
232,*MOT: what's he doing there ?	*CHI: riding on a motorbike .,*MOT: what's he doing there ?	*CHI: here the train comes .
233,*MOT: how does it go ?	*CHI: that's a slide and steps .,*MOT: how does it go ?	*CHI: he milks the the cup .
